RTP Calculator for 4-Reel Slot Machine (Bias-Based)

Symbol;Multiplier;Bias Reel 1;Bias Reel 2;Bias Reel 3;Bias Reel 4
A;20;5;5;5;5
K;15;10;10;10;10
Q;10;15;15;15;15
J;5;20;20;20;20
10;2;25;25;25;25
X;0;20;20;20;20
Total Bias per Reel;=SUM(C4:C9);=SUM(D4:D9);=SUM(E4:E9);=SUM(F4:F9)

Symbol;Reel 1;Reel 2;Reel 3;Reel 4
A;=C4/C10;=D4/D10;=E4/E10;=F4/F10
K;=C5/C10;=D5/D10;=E5/E10;=F5/F10
Q;=C6/C10;=D6/D10;=E6/E10;=F6/F10
J;=C7/C10;=D7/D10;=E7/E10;=F7/F10
10;=C8/C10;=D8/D10;=E8/E10;=F8/F10
X;=C9/C10;=D9/D10;=E9/E10;=F9/F10

Sum of probabilities per reel:;=SUM(C13:C18);=SUM(D13:D18);=SUM(E13:E18);=SUM(F13:F18)
Combination;Probability;Multiplier;Contribution to RTP
XQXX;=PRODUCT(C18,D15,E18,F18);10;=B66*C66
XXQX;=PRODUCT(C18,D18,E15,F18);10;=B67*C67
XXXQ;=PRODUCT(C18,D18,E18,F15);10;=B68*C68
JJJX;=PRODUCT(C16,D16,E16,F18);5;=B69*C69
JJXJ;=PRODUCT(C16,D16,E18,F16);5;=B70*C70
JXJJ;=PRODUCT(C16,D18,E16,F16);5;=B71*C71
XJJJ;=PRODUCT(C18,D16,E16,F16);5;=B72*C72
JJXX;=PRODUCT(C16,D16,E18,F18);5;=B73*C73
JXJX;=PRODUCT(C16,D18,E16,F18);5;=B74*C74
JXXJ;=PRODUCT(C16,D18,E18,F16);5;=B75*C75
XJJX;=PRODUCT(C18,D16,E16,F18);5;=B76*C76
XJXJ;=PRODUCT(C18,D16,E18,F16);5;=B77*C77
XXJJ;=PRODUCT(C18,D18,E16,F16);5;=B78*C78
JXXX;=PRODUCT(C16,D18,E18,F18);5;=B79*C79
XJXX;=PRODUCT(C18,D16,E18,F18);5;=B80*C80
XXJX;=PRODUCT(C18,D18,E16,F18);5;=B81*C81
XXXJ;=PRODUCT(C18,D18,E18,F16);5;=B82*C82
101010X;=PRODUCT(C17,D17,E17,F18);2;=B83*C83
1010X10;=PRODUCT(C17,D17,E18,F17);2;=B84*C84
10X1010;=PRODUCT(C17,D18,E17,F17);2;=B85*C85
X101010;=PRODUCT(C18,D17,E17,F17);2;=B86*C86
1010XX;=PRODUCT(C17,D17,E18,F18);2;=B87*C87
10X10X;=PRODUCT(C17,D18,E17,F18);2;=B88*C88
10XX10;=PRODUCT(C17,D18,E18,F17);2;=B89*C89
X1010X;=PRODUCT(C18,D17,E17,F18);2;=B90*C90
X10X10;=PRODUCT(C18,D17,E18,F17);2;=B91*C91
XX1010;=PRODUCT(C18,D18,E17,F17);2;=B92*C92
10XXX;=PRODUCT(C17,D18,E18,F18);2;=B93*C93
X10XX;=PRODUCT(C18,D17,E18,F18);2;=B94*C94
XX10X;=PRODUCT(C18,D18,E17,F18);2;=B95*C95
XXX10;=PRODUCT(C18,D18,E18,F17);2;=B96*C96
XXXX;=PRODUCT(C18,D18,E18,F18);20;=B97*C97

Total RTP;=SUM(D22:D97)
Expected RTP as percentage;=B99*100 & "%"

Instructions:
1. Adjust the bias values for each symbol in each reel (rows 4-9, columns C-F)
2. The probabilities will be automatically calculated (bias value ÷ total bias)
3. The RTP is calculated based on these probabilities
4. Modify the bias values until you achieve your target RTP (e.g., 97%)

Example to achieve ~97% RTP:
- Increase bias of higher value symbols (A, K) and Jokers (X) to increase RTP
- Increase bias of lower value symbols (10, J) to decrease RTP
